Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
^B50INE,Dow Jones BRIC India 15 Index (,DJI,Dow Jones,I,Index
^B50BRE,Dow Jones BRIC Brazil 15 Index ,DJI,Dow Jones,I,Index
^B5RDRDT,Dow Jones BRIC Russia 5 DR Tota,DJI,Dow Jones,I,Index
^B65PI,OMX Baltic Utilities PI,NIM,NASDAQ GIDS,I,Index
^B65GI,OMX Baltic Utilities GI,NIM,NASDAQ GIDS,I,Index
B61.SI,Bukit Sembawang Estates Limited,SES,Singapore,S,Equity
B6K2.MU,BEARING LITHIUM,MUN,Munich,S,Equity
B6E.MU,SWEDISH ORPHAN BIOVIT.SK1,MUN,Munich,S,Equity
B6R.BE,FIREFLY RES LTD,BER,Berlin,S,Equity
B6G.F,Bega Cheese Limited,FRA,Frankfurt,S,Equity
B6S.SG,Britvic plc,STU,Stuttgart,S,Equity
B6S.MU,"BRITVIC PLC  LS-,20",MUN,Munich,S,Equity
B6S.F,Britvic plc,FRA,Frankfurt,S,Equity
B73.SI,Global Investments Limited,SES,Singapore,S,Equity
B7S.BE,"BROOKDALE SR LVG  DL -,01",BER,Berlin,S,Equity
B7J.DE,SRV Yhtiöt Oyj,GER,XETRA,S,Equity
B7U.F,Galiano Gold Inc.,FRA,Frankfurt,S,Equity
B7O.SG,Citic Telecom Intl Hldgs Ltd. R,STU,Stuttgart,S,Equity
B7C.SG,D'Amico International ShippingA,STU,Stuttgart,S,Equity
B7Y.F,Byotrol plc,FRA,Frankfurt,S,Equity
B7LM.MU,Brigadier Gold Limited,MUN,Munich,S,Equity
B7A.SG,Banca Generali S.p.A. Azioni no,STU,Stuttgart,S,Equity
B7Z.F,Arribatec Solutions ASA,FRA,Frankfurt,S,Equity
B8F.DE,Biofrontera AG,YHD,Industry,S,Equity
B8A.DE,BAVARIA Industries Group AG,YHD,Industry,S,Equity
B8Y.BE,BOSS ENERGY LTD.,BER,Berlin,S,Equity
B8F.SG,Biofrontera AG Namens-Aktien o.,STU,Stuttgart,S,Equity
B8D.BE,BOART LONGYEAR GROUP,BER,Berlin,S,Equity
B85A.BE,LONG TERM VALUE,BER,Berlin,E,ETF
B8Z.F,Jade Power Trust,FRA,Frankfurt,E,ETF
B8O.F,Yangzijiang Shipbuilding (Holdings) Ltd.,FRA,Frankfurt,S,Equity
B8F.HM,BIOFRONTERA AG NA O.N.,HAM,Hamburg,S,Equity
B8F.F,Biofrontera AG,FRA,Frankfurt,S,Equity
B9Y.SG,Big Yellow Group PLC Registered,STU,Stuttgart,S,Equity
B9PA.BE,"NOVABAY PHARMAC.  DL-,01",BER,Berlin,S,Equity
B9B.F,BHB Brauholding Bayern-Mitte AG,FRA,Frankfurt,S,Equity
B9Y.F,Big Yellow Group Plc,FRA,Frankfurt,S,Equity
B9Y.BE,"BIG YELLOW GROUP  LS 0,10",BER,Berlin,S,Equity
B9V.HM,Bavaria Venture Capital & Trade AG,HAM,Hamburg,S,Equity
B9S.SI,CosmoSteel Holdings Limited,SES,Singapore,S,Equity
B9S.F,Blackstone Minerals Limited,FRA,Frankfurt,S,Equity
B9O2.F,Serabi Gold plc,FRA,Frankfurt,S,Equity
B9C.F,Balco Group AB,FRA,Frankfurt,S,Equity
RILY,"B. Riley Financial, Inc.",NGM,NASDAQ,S,Equity
RILYZ,"B. Riley Financial, Inc. SR NT 27",NGM,NASDAQ,S,Equity
BOSC,B.O.S. Better Online Solutions Ltd.,NCM,NASDAQ,S,Equity
RILYG,"B. Riley Financial, Inc. SR NT 7.25% 27",NGM,NASDAQ,S,Equity
RILYM,"B. Riley Financial, Inc. - 6.37",NGM,NASDAQ,S,Equity
RILYN,"B. Riley Financial, Inc. - 6.50",NGM,NASDAQ,S,Equity
RILYI,"B. Riley Financial, Inc. - 6.87",NGM,NASDAQ,E,ETF
CAP-UN,Capitol Investment Corp. V,NYS,NYSE,S,Equity
CAHC,CA Healthcare Acquisition Corp.,NAS,NASDAQ,S,Equity
CTAQW,Carney Technology Acquisition Corp. II,NCM,NASDAQ,S,Equity
CAHCU,CA Healthcare Acquisition Corp.,NAS,NASDAQ,S,Equity
CAHCW,CA Healthcare Acquisition Corp.,NCM,NASDAQ,S,Equity
CTAQ,Carney Technology Acquisition Corp. II,NCM,NASDAQ,S,Equity
CTAQU,Carney Technology Acquisition Corp. II,NCM,NASDAQ,S,Equity
GLBLU,Cartesian Growth Corporation,NCM,NASDAQ,S,Equity
CAS'U,Cascade Acquisition Corp,NYS,NYSE,S,Equity
CB,Chubb Limited,NYQ,NYSE,S,Equity
CBAHU,"CBRE Acquisition Holdings, Inc.",NYS,NYSE,S,Equity
^VIX,CBOE Volatility Index,WCB,Chicago Board Options Exchange,I,Index
^TNX,CBOE Interest Rate 10 Year T No,NYB,New York Board of Trade,I,Index
CBRL,"Cracker Barrel Old Country Store, Inc.",NMS,NASDAQ,S,Equity
CBWTF,Auxly Cannabis Group Inc.,PNK,OTC Markets,S,Equity
CBRE,"CBRE Group, Inc.",NYQ,NYSE,S,Equity
CBOE,"Cboe Global Markets, Inc.",NMS,NASDAQ,S,Equity
CBLI,"Cleveland BioLabs, Inc.",NCM,NASDAQ,S,Equity
CC,The Chemours Company,NYQ,NYSE,S,Equity
CCV-UN,Churchill Capital Corp V,NYS,NYSE,S,Equity
CCVIU,Churchill Capital Corp VI,NYS,NYSE,S,Equity
CCL,Carnival Corporation & plc,NYQ,NYSE,S,Equity
CCI,Crown Castle International Corp. (REIT),NYQ,NYSE,S,Equity
CCJ,Cameco Corporation,NYQ,NYSE,S,Equity
CCO,"Clear Channel Outdoor Holdings, Inc.",NYQ,NYSE,S,Equity
CCXI,"ChemoCentryx, Inc.",NMS,NASDAQ,S,Equity
CD,Chindata Group Holdings Limited,NMS,NASDAQ,S,Equity
CDAK,"Codiak BioSciences, Inc.",NGM,NASDAQ,S,Equity
CDE,"Coeur Mining, Inc.",NYQ,NYSE,S,Equity
CDR,"Cedar Realty Trust, Inc.",NYQ,NYSE,S,Equity
CDXC,ChromaDex Corporation,NCM,NASDAQ,S,Equity
CDEV,"Centennial Resource Development, Inc.",NCM,NASDAQ,S,Equity
CDLX,"Cardlytics, Inc.",NGM,NASDAQ,S,Equity
CDNS,"Cadence Design Systems, Inc.",NMS,NASDAQ,S,Equity
CDMO,"Avid Bioservices, Inc.",NCM,NASDAQ,S,Equity
CDW,CDW Corporation,NMS,NASDAQ,S,Equity
